category,description,ilosc,image_url,name,price
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras wołowina z ryżem brązowym.,18,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dilina 123.jpg,Dolina Noteci premium Pure z wołowiną i ryżem brązowym,"12,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w kurczaka.,41,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kurczak 800.jpg,Dolina Noteci premium bogata w kurczaka,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w dziczyznę.,51,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dziczyzna 800.jpeg,Dolina Noteci premium bogata w Dziczyznę,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras kaczka.,31,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pure kaczka 800.jpeg,Dolina Noteci premium Pure z Kaczką,"12,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras jagnięcina.,88,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pure jagnie 800.jpg,Dolina Noteci premium Pure z jagnięciną,"12,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w indyka.,51,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/indyk 800.jpg,Dolina Noteci premium bogata w indyka,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w jagnięcinę.,41,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dolina noteci jagniecina.jpg,Dolina Noteci premium bogata w Jagnięcinę,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w wołowinę.,49,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/wołowina 800.jpg,Dolina Noteci premium bogata w Wołowinę,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w pstrąga.,27,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pstrąg 800.jpg,Dolina Noteci premium bogata w Pstrąga,"10,99"
Psy/Karmy mokre,Pełnoporcjowa karma dla dorosłych psów.,12,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3478321.jpg,purina friskies adult wołowina i ziemniaki w sosie,"1,65"
Psy/Karmy mokre,Pełnoporcjowa karma dla szczeniąt.,41,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3478322.jpg,purina friskies junior kurczak i marchewka w sosie,"1,65"
Psy/Karmy mokre,Pełnoporcjowa karma dla dorosłych psów.,74,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3339002.jpg,purina friskies adult kurczak i marchewka w sosie,"1,65"
Psy/Karmy mokre,Pełnoporcjowa karma dla dorosłych psów.,29,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3339003.jpg,purina friskies adult jagnięcina i marchewka w sosie,"1,65"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,72,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chappi 244 943.jpg,chappi wołowina i drób,"12,10"
Psy/Karmy mokre,Pełnoporcjowa karma dla szczeniąt.,87,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3339001.jpg,purina friskies junior kurczaK I MARCHEWKA 4X100G,"5,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras z jagnięciną.,45,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-rafi-z-jagniecina-300-g.jpg,Rafi z jagnięciną,"3,09"
Psy/Karmy mokre,Pełnoporcjowa karma dla dorosłych psów.,58,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/1482307.jpg,cesar wołowina i wątróbka,"5,73"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras z wołowiną.,100,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-rafi-z-wolowina-300-g.jpg,Rafi z wołowiną,"3,09"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,66,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chappi 930.jpg,chappi wołowina i kurczak,"4,59"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,20,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chappi 916.jpg,Chappi wołowina oraz wołowina z drobiem,"4,59"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,28,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chappi wolowina odkfeugfbg.jpg,chappi wołowina w sosie,"1,09"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,55,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chapi kurczak rgunbtr.jpg,chappi kurczak w sosie,"1,09"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,46,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chappi mieszanka uiwernjvierogjyrgthjtu.jpg,chappi wołowina i drób w sosie,"1,09"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,47,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chappi 190 882.jpg,chappi wołowina i marchewka,"5,43"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,27,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chappi 220 905.jpg,chappi drób i marchewka,"5,43"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,80,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3469383.jpg,cesar klassiker kurczak z indykiem,"5,73"
Psy/Karmy mokre,Pasztet z delikatnym kurczakiem i jagnięciną dla szczeniąt.,14,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Choice Junior Kurczak i jagnie 150g 5011941142051.jpg,butchers gastronomia junior z kurczakiem i jagnięciną,"2,69"
Psy/Karmy mokre,Mięsne kawałki z jagnięciną i marchewką.,58,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pro siries jagniecian.jpg,butchers pro series z jagnięciną i marchewką,"3,69"
Psy/Karmy mokre,Pasztet z drobiem i wołowiną.,84,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pasztet drob wol.jpg,butchers pro series z drobiem i wołowiną,"3,69"
Psy/Karmy mokre,Mięsne kawałki z cielęciną i marchewką.,39,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cielecina marchewka.jpg,butchers pro series z cielęciną i marchewką,"3,69"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras,74,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/gęś 800.jpeg,Dolina Noteci premium BOGATA W GĘŚ Z ZIEMNIAKAMI,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w dorsza z brokułami.,85,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dorsz 800.jpg,Dolina Noteci premium BOGATA W DORSZA Z BROKUŁAMI,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras królik z żurawiną.,98,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/królik 800.jpg,Dolina Noteci premium BOGATA W KRÓLIKA Z ŻURAWINĄ,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w kaczkę z dynią.,29,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kaczka 800.jpg,Dolina Noteci premium BOGATA W KACZKĘ Z DYNIĄ,"10,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla mało aktywnych psów wszystkich ras.,30,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dn light.jpg,Dolina Noteci premium Light,"8,49"
Psy/Karmy mokre,"Karma pełnoporcjowa dla dorosłych psów małych ras z bażantem, dynią i makaronem.",45,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dn bażant.jpg,Dolina Noteci premium Bażant z Dynią i Makaronem,"5,49"
Psy/Karmy mokre,Idealna karma mokra specjalnie dla dorosłych psów rasy chihuahua.,91,"https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/royal mokra chihuahua ,msdjheg.jpeg",royal canin chihuahua,"4,04"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,92,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82746_GranCarnoOriginal_RindEntenherzen_400g.jpg,Animonda GranCarno Orginal adult wołowina i serca kacze,"7,37"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,92,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82735_GranCarnoOriginal_Rind-pur_400g.jpg,Animonda GranCarno Orginal adult wołowina,"7,37"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,39,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82730_GranCarnoOriginal_Multifleischcocktail_400g.jpg,Animonda GranCarno Orginal adult mięsny koktail,"7,37"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,50,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82756_GranCarnoOriginal_RindKaninchenKraeuter_400g.jpg,"Animonda GranCarno Orginal adult wołowina,królik w ziołach","7,37"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,46,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82753_GranCarnoOriginal_RindHirschApfel_400g.jpg,"Animonda GranCarno Orginal adult wołowina,jeleń z jabłkiem","7,37"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,73,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82734_GranCarnoOriginal_RindPute_400g.jpg,"Animonda GranCarno Orginal adult wołowina,indyk","7,37"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,39,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82733_GranCarnoOriginal_RindLamm_400g.jpg,"Animonda GranCarno Orginal adult wołowina,jagnięcina","7,37"
Psy/Karmy mokre,Uzupełniająca karma dla dorosłych psów z filetami z kurczaka i wołowiną.,86,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/zdftehnzcggnzdy4w7w64u.jpg,schesir filet z kurczaka z wołowiną w galarecie,"7,56"
Psy/Karmy mokre,Uzupełniająca karma dla dorosłych psów z filetami z kurczaka.,63,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/faeryq3545y74267wsgbsfhsrh.jpg,schesir filet z kurczaka w galarecie,"7,56"
Psy/Karmy mokre,Uzupełniająca karma dla dorosłych psów.,83,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/tyq536fgarytw45yathahrt.jpg,schesir kurczak z szynką w galarecie,"7,56"
Psy/Karmy mokre,Kawałki szynki w sosie.,31,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/1d94dcd02ba6f1f76d871e1145314c4b.jpg,stuzzy szynka w sosie,"2,86"
Psy/Karmy mokre,Mięsne kawałki kurczaka w galaretce.,19,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/stuzzy pies galaretka kurczak.jpg,stuzzy kurczak w galarecie,"2,86"
Psy/Karmy mokre,Uzupełniająca karma dla szczeniąt z filetami z kurczaka i aloesem.,26,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/dtyw46usmxvmxfgyu5d6x.jpg,schesir puppy filet z kurczaka z aloesem,"7,56"
Psy/Karmy mokre,Kawalki wołowiny w sosie.,87,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/3bcfd45973d8c3f0e0a2c9be2375d7a0.jpg,stuzzy wołowina w sosie,"2,86"
Psy/Karmy mokre,Kawałki ryb morskich w galaretce.,44,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/1e690c3994e91ad9ef4c1bae34b385bd.jpg,stuzzy ryby morskie w galarecie,"2,86"
Psy/Karmy mokre,Uzupełniająca karma dla szczeniąt z tuńczykiem i aloesem.,56,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/rgeqhfdbdatyw4thzdgn zrt.jpg,schesir puppy tuńczyk z aloesem w galarecie,"7,56"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,28,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pedigree jagniecina galaretka 100g.jpg,PEDIGREE JAGNIĘCINA W GALARETCE,"2,26"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,36,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pedigree kurczak w sosie 100g.jpg,PEDIGREE KURCZAK I JAGNIĘCINA W SOSIE,"2,26"
Psy/Karmy mokre,,87,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pedigree wołowina galaretka 100g.jpg,PEDIGREE WOŁOWINA W GALARETCE,"2,26"
Psy/Karmy mokre,Karma pełnoporcjowa dla rosnących psów / szczeniąt.,19,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/PEDIGREE JUNIOR KURCZAK INDYK SOS 4X100G BONUS.gif,PEDIGREE JUNIOR KURCZAK I INDYK W SOSIE,"7,08"
Psy/Karmy mokre,Karma pełnoporcjowa dla rosnących psów / szczeniąt.,86,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/PEDIGREE JUNIOR KURCZAK.jpg,PEDIGREE JUNIOR KURCZAK W GALARETCE,"6,37"
Psy/Karmy mokre,Karma pełnoporcjowa dla rosnących psów / szczeniąt.,90,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/PEDIGREE JUNIOR KURCZAKINDYK 4X100G BONUS.jpg,PEDIGREE JUNIOR KURCZAK I WOŁOWINA Z RYŻEM,"7,92"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów.,16,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pedigree wołowina w galaretce 400g.jpg,PEDIGREE WOŁOWINA W GALARETCE,"6,37"
Psy/Naturalne gryzaki,Kabanosy dla psów dorosłych wszystkich ras.,49,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/maced kabanosy drobiowe.jpg,maced kabanosy drobiowe,"3,19"
Psy/Pozostałe,Tabliczka ozdobna z pupilem.,82,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/WYZEŁ.jpg,Tabliczka Wyżeł,"17,99"
Psy/Pozostałe,"Szczypce pozwalają w łatwy, bezpieczny i delikatny sposób usunąć w całości kleszcze przyczepione do skóry.",24,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/szczypce.jpg,tick boy - szczypce do usuwania kleszczy,"24,88"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras.,25,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-piper-z-jagniecina-i-marchewka-500-g.jpg,PIPER JAGNIĘCINA Z MARCHEWKĄ I RYŻEM,"6,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras.,81,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-piper-z-sercami-kurczaka-i-ryzem-500-g.jpg,PIPER SERCA Z KURCZAKA Z BRĄZOWYM RYŻEM,"6,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras.,92,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-piper-z-watroba-wolowa-i-ziemniakami-500-g.jpg,PIPER WĄTRÓBKA I ZIEMNIAKI,"6,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla szczeniąt i młodych psów małych ras bogata w żołądki jagnięce.,14,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-premium-junior-bogata-w-zoladki-jagniece-185-g.jpg,Karma Dolina Noteci PREMIUM JUNIOR bogata w żołądki jagnięce,"5,99"
Psy/Karmy mokre,Karma pełnoporcjowa dla szczeniąt i młodych psów małych ras bogata w wątróbkę z królika z ozorami z jelenia.,33,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-premium-junior-bogata-w-watrobke-z-krolika-z-ozorami-z-jelenia-185-g.jpg,Dolina Noteci PREMIUM JUNIOR bogata w wątróbkę z królika z ozorami z jelenia,"5,99"
Psy/Karmy mokre,Karma dla szczeniąt oraz suk laktujących.,95,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-premium-starter-185-g.jpg,Dolina Noteci PREMIUM Starter,"6,19"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w wołowinę.,86,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-dolina-noteci-premium-bogata-w-wolowine-150-g.jpg,Dolina Noteci PREMIUM bogata w wołowinę,"5,19"
Psy/Karmy mokre,Karma podstawowa dla dorosłych psów.,13,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/82612_VomFeinstenHund_Adult_RindPutenherzen_150g.jpg,ANIMONDA VOM FEINSTEN ADULT wołowina i serca indycze,"4,73"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w kurczaka.,30,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-dolina-noteci-premium-bogata-w-kurczaka-150-g.jpg,Dolina Noteci PREMIUM bogata w kurczaka,"5,19"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w indyka.,23,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-dolina-noteci-premium-bogata-w-indyka-150-g.jpg,Dolina Noteci PREMIUM bogata w indyka,"5,19"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w dziczyznę.,85,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-dolina-noteci-premium-bogata-w-dziczyzne-150-g.jpg,Dolina Noteci PREMIUM bogata w dziczyznę,"5,19"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w jagnięcinę.,46,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-dolina-noteci-premium-bogata-w-jagniecine-150-g.jpg,Dolina Noteci PREMIUM bogata w jagnięcinę,"5,19"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w pstrąga.,18,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-premium-bogata-w-pstraga-150-g.jpg,Dolina Noteci Premium bogata w pstrąga,"5,19"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w dorsza z brokułami.,46,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-dolina-noteci-premium-bogata-w-dorsza-z-brokulami-150-g.jpg,Dolina Noteci Premium bogata w dorsza z brokułami,"5,19"
Psy/Karmy mokre,Karma pełnoporcjowa dla dorosłych psów wszystkich ras bogata w kaczkę z dynią.,93,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/karma-dolina-noteci-premium-bogata-w-kaczke-z-dynia-150-g.jpg,Dolina Noteci Premium bogata w kaczkę z dynią,"5,19"
