category,description,ilosc,image_url,name,price
Gryzonie/Przysmaki,Marchewkowa przekąska dla chomików.,18,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025674.jpg,vitakraft carotties dla chomika,"7,16"
Gryzonie/Przysmaki,Lekkostrawna przekąska z serem dla szczurów i chomików.,15,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025375.jpg,vitakraft bonbinos chrupiące kulki serowe,"4,99"
Gryzonie/Przysmaki,Snacks tosmaczna przekąska dostarczająca organizmom zwierząt wielu substancji odżywczych.,31,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/nestor snacks płatki groszku.jpg,nestor snacks płatki groszku,"2,95"
Gryzonie/Przysmaki,Snack Nature Fibresta zdrowa mieszanka dla wszystkich gryzoni.,34,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/snak nature fibre xdkdhduwikdf.jpg,versele laga snack nature fibres,"19,18"
Gryzonie/Przysmaki,"Mieszanka prażonych ziaren, owoców i płatków dla gryzoni.",31,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/snac nature cereals dfjgsenfgifGthxhj.jpg,versele laga snack nature cereals,"19,18"
Gryzonie/Akcesoria inne,Grzebień do czesania dla gryzoni.,43,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/203020.JPEG,zolux grzebień podwójny dla gryzoni,"25,25"
Gryzonie/Zabawki,Cichy kołowrotek dla gryzoni.,64,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kolowrotek-silent-wheel-mini-rodylounge-tu.jpg,Zolux kołowrotek Silent Wheel RodyLounge turkusowy,"31,03"
Gryzonie/Przysmaki,Rożek dla gryzoni toprzekąska uzupełniająca i urozmaicająca codzienną dietę gryzoni.,42,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ZVP-1125.jpg,vitapol rożek warzywny,"2,48"
Gryzonie/Przysmaki,Crock Complete Apple to smaczny i zdrowy przysmak dla królików i gryzoni.,52,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/pol_pl_Versele-Laga-Crock-Complete-Apple-50g-3572_1.jpg,versele laga crock complete apple,"15,16"
Gryzonie/Przysmaki,Crock Complete Berry to smakowity i zdrowy przysmak dla królików i gryzoni.,34,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/berry dklfgjbhjsdfiogj.jpg,versele laga crock complete berry,"15,16"
Gryzonie/Przysmaki,Crock Complete Carrot to smaczny i zdrowy przysmak dla królików i gryzoni.,43,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/carot wfibwiegfr.jpg,versele laga crock complete carrot,"15,16"
Gryzonie/Przysmaki,Versele Laga Crock Cheeseto wyśmienity przysmak z serem dla wszystkich gryzoni.,33,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/461306-crock-complete-cheese-50g.jpg,versele laga crock complete cheese,"15,16"
Gryzonie/Przysmaki,Crock Complete Chicken to smakowita i zdrowa przekąska dla fretek.,72,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/versele-laga-crock-complete-chicken-50g.jpg,versele laga crock complete chicken,"15,16"
Gryzonie/Przysmaki,Crock Complete Herbs to smakowity i zdrowy przysmak dla królików i gryzoni.,65,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/herbs dfjiusfgiozxcnjonasciojnjnj.jpg,versele laga crock complete herbs,"15,16"
Gryzonie/Przysmaki,Naturalny przysmak dla królików,41,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/alegia-zioła-królik.jpg,Alegia zielone ziółka dla królików,"10,85"
Gryzonie/Pokarm,Pełnowartościowa karma warzywna dla królików.,36,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/vvvvvvvvveeeeeeeeeeeeeggggggggggiiiiiiiiii królik.jpg,vitakraft emotion veggie dla królika,"24,82"
Gryzonie/Pokarm,Pełnowartościowa karma warzywna dla chomików.,100,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/VEGIIIE CHOMIKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK.jpg,vitakraft emotion veggie dla chomika,"24,82"
Gryzonie/Pokarm,Pełnowartościowa karma warzywna dla królików.,25,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/herrrrbbbbbbbbbaaaaaaaaallllllll królik.jpg,vitakraft emotion herbal dla królika,"24,82"
Gryzonie/Pokarm,Pełnowartościowa karma warzywna z dodatkiem ziół dla świnki morskiej.,55,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/heeeerbbbbaaallll swinia.jpg,vitakraft emotion herbal dla świnki morskiej,"24,82"
Gryzonie/Pokarm,Pełnowartościowa karma warzywna z dodatkiem ziół dla szynszyli.,16,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/herbal szyszkaaaa sssssssswwwwwwwwwwww.jpg,vitakraft emotion herbal dla szynszyli,"24,82"
Gryzonie/Pokarm,Podstawowy pokarm dla świnki morskiej.,23,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/sensitive świnia mnnnnnnnnnnnnnnnnnnnnnnnnnnnnnmmmmmmmmmmm.jpg,vitakraft emotion sensitive dla świnki morskiej,"26,79"
Gryzonie/Pokarm,Karma podstawowa dla królika.,33,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/sensitive królik aaaaaaaaannnnnnnnnnsssssssssskkkkkkkk.jpg,vitakraft emotion sensitive dla królika,"25,69"
Gryzonie/Pokarm,Karma pełnoporcjowa dla szczurów.,21,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/sczut=rncjdjddgokfdoooooooooooooooodddd.jpg,vitakraft emotion beauty dla szczura,"24,82"
Gryzonie/Pokarm,Pokarm podstawowy dla myszy.,71,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/beauty myssza jaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaajjjjjjjjj.jpg,vitakraft emotion beauty dla myszy,"14,45"
Gryzonie/Pokarm,Karma pełnoporcjowa dla chomików karłowatych.,82,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/beauty karzel chomik sssssssswwwwwwwwwwwwwwwwkkkkkkkkk.jpg,vitakraft emotion beauty dla chomika karłowatego,"14,45"
Gryzonie/Pokarm,Karma pełnoporcjowa dla młodych świnek morskich- do 6 miesiąca życia.,14,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/beauty junior swinia troche mniej.jpg,vitakraft emotion beauty junior świnka morska,"24,82"
Gryzonie/Pokarm,Karma pełnoporcjowa dla świnek morskich.,90,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/beauty adult swinia.jpg,vitakraft emotion beauty adult świnka morska,"24,82"
Gryzonie/Pokarm,Pełnowartościowy pokarm dla królików.,55,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025665.jpg,vitakraft menu vital 1kg + 20% dla królika,"18,77"
Gryzonie/Pokarm,Ekskluzywny pokarm Premium Foodoparty wyłącznie na naturalnych składnikach.,32,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/nesto chomik premium 1.4l.jpg,nestor pokarm premium dla chomików + kolba gratis,"14,77"
Gryzonie/Pokarm,"Karma podstawowa dla chomików, odpowiednio zbilansowana, w której skład wchodzą podstawowe składniki diety gryzoni w naturalnym środowisku.",95,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ZVP-1161.jpg,vitapol pokarm dla chomika,"29,86"
Gryzonie/Pokarm,Karma pełnoporcjowa dla chomików.,95,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025363.jpg,vitakraft life power pokarm dla chomika,"13,66"
Gryzonie/Pokarm,Karma z witaminami dla chomików miniaturowych.,21,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000018557.jpg,vitakraft menu vital dla chomików miniaturowych,"11,97"
Gryzonie/Pokarm,Karma pełnoporcjowa dla królików.,16,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025119.jpg,vitakraft life power pokarm dla królika,"17,07"
Gryzonie/Pokarm,Karma pełnoporcjowa dla świnek morskich.,68,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025109.jpg,vitakraft life power pokarm dla świnki morskiej,"17,07"
Gryzonie/Pokarm,Karma pełnoporcjowa dla koszatniczek.,28,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025143.jpg,vitakraft menu vital dla koszatniczki,"15,37"
Gryzonie/Pokarm,Karma pełnoporcjowa dla młodych królików.,89,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000018116.jpg,vitakraft menu kids dla królika,"13,66"
Gryzonie/Pokarm,Karma pełnoporcjowa dla chomików.,90,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000018122.jpg,vitakraft menu vital dla chomika,"8,21"
Gryzonie/Pokarm,Karma pełnoporcjowa dla świnek morskich.,100,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025248.jpg,Vitakraft pellets granulat dla świnki,"15,21"
Gryzonie/Pokarm,Karma pełnoporcjowa dla szynszyli.,11,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000018113.jpg,Vitakraft pellets karma dla szynszyli,"4,99"
Gryzonie/Pokarm,Pełnowartościowy pokarm dla królików.,69,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/etyhyjfdyuogulfghsyikfy.jpg,TROPIFIT RABBIT POKARM DLA KRÓLIKA 3L,"22,39"
Gryzonie/Pokarm,Megan Zoo - Box pokarm dla koszatniczki.,17,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/zoo box koszatniczka.jpg,megan zoo-box koszatniczka,"11,98"
Gryzonie/Pokarm,Pełnowartościowa sucha karma dla szynszyli.,76,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/szynszyla bunny vbgxc.jpg,Bunny chinchilla dream pokarm dla szynszyli,"35,97"
Gryzonie/Pokarm,Megan Zoo - Box pokarm dla szczurków i myszoskoczków.,90,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/zoo box szczurek i myszoskoczek.jpg,megan zoo-box szczurek i myszoskoczek,"11,98"
Gryzonie/Pokarm,Karma wspomagająca (specjalnego przeznaczenia) dla królików i gryzoni.,99,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/kraftflocken.jpg,bunny kraftflocken jęczmień pietruszka,"14,37"
Gryzonie/Pokarm,"Pokarm wspomagający w sytuacjach stresowych dla świnki morskiej, szynszyli, koszatniczki i królików.",36,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/profit balance (2) duze zwierze.jpg,bunny pro-fit balance karma dla dużych gryzoni,"21,73"
Gryzonie/Pokarm,Karma uzupełniająca dla szynszyli. Można podawać również innym gryzoniom.,68,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ZVP-4106.jpg,vitapol vita herbal uczta dla szynszyli,"9,21"
Gryzonie/Pokarm,Degu Naturekarmą dopasowaną do konkretnych potrzeb żywieniowych koszatniczek.,92,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Versele-Laga-Degu-Nature-2.5kg.jpg,versele laga degu nature,"25,22"
Gryzonie/Pokarm,Cuni Sensitive Complete to karma przeznaczona dla królików z wrażliwym układem pokarmowym.,79,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cuni-sensitive-complete.jpg,versele laga cuni sensitive complete,"24,43"
Gryzonie/Pokarm,Cuni Nature Re-Balancejest kompletną karmą dopasowaną do konkretnych potrzeb żywieniowych królików.,66,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/rebalance junior cuni bhwiodbhjsdfonklsdfbjkscvj.jpg,versele laga cuni nature rebalance,"22,87"
Gryzonie/Pokarm,Cuni Naturejest kompletną karmą dopasowaną do potrzeb żywieniowych królików.,78,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/versele-laga-cuni-nature-dla-krolika-f821.jpg,versele laga cuni nature,"21,31"
Gryzonie/Pokarm,Pełnowartościowa i smaczna karma dla królików.,28,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cuni-complete-eksrudat.jpg,versele laga cuni adult complete,"22,49"
Gryzonie/Pokarm,Smakowita i bogata we włókno karma dla królików.,70,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/crispy rabit.jpg,versele laga cuni crispy,"7,64"
Gryzonie/Pokarm,Chinchilla Naturejest kompletną karmą dopasowaną do potrzeb żywieniowych szynszyli.,50,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chinchila natuer egfrjuaefnhuia.jpeg,versele laga chinchilla nature,"24,05"
Gryzonie/Pokarm,Cuni Junior Naturejest kompletną karmą dopasowaną do potrzeb żywieniowych młodych królików.,43,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/f72a177d5c61afcbf4ff91383621db87.jpg,versele laga cuni nature junior,"24,07"
Gryzonie/Pokarm,Chinchilla & degu completeto pełnowartościowa i smaczna karma dla szynszyli i koszatniczki.,47,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/Versele-Laga-Chinchilla-Degu-Complete-1-75kg_600x600.jpg,versele laga chinchila & degu complete,"24,43"
Gryzonie/Pokarm,Chinchilla Nature Re-Balancejest kompletną karmą dopasowaną do konkretnych potrzeb żywieniowych szynszyli z wrażliwym układem trawiennym.,59,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/chinchila rebalance sdgjerg.jpg,versele laga chinchila nature re-balance,"25,23"
Gryzonie/Pokarm,Pełnowartościowy granulat dla wszystkich gryzoni i królików.,30,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ZVP-1000.jpg,vitapol granulat dla gryzoni i królika,"5,94"
Gryzonie/Pokarm,Zdrowa i lekka karma uzupełniająca Crispy Snack Popcorn dla królików i małych gryzoni.,20,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/600_600.jpg,versele laga crispy snack fibres,"17,79"
Gryzonie/Pokarm,Rat & mouse completeto pełnowartościowa i smaczna karma dla szczurów oraz myszy.,71,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/versele-laga-rat-mouse-complete_720x600.jpg,versele laga rat & mouse complete,"24,43"
Gryzonie/Pokarm,Gerbil Naturejest kompletną karmą dopasowaną do potrzeb żywieniowych myszoskoczków.,93,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/versele-laga-gerbil-nature.jpg,versele laga gerbil nature,"30,12"
Gryzonie/Pokarm,Pełnoporcjowy pokarm dla szczura.,38,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/ZVP-1561.jpg,vitapol pokarm dla szczura,"26,57"
Gryzonie/Pokarm,Rat Naturejest kompletną karmą dopasowaną do potrzeb żywieniowych szcurów.,54,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/465.jpg,versele laga rat nature,"26,21"
Gryzonie/Pokarm,Hamster Completeto pełnowartościowa i smaczna karma dla chomików.,89,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/47096.jpg,versele laga hamster complete,"24,43"
Gryzonie/Pokarm,Hamster Naturejest kompletną karmą dopasowaną do potrzeb żywieniowych chomików.,15,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/versele-laga-hamster-nature-dla-chomika-5588.jpg,versele laga hamster nature,"25,23"
Gryzonie/Pokarm,Mini Hamster Naturejest kompletną karmą dopasowaną do potrzeb żywieniowych chomików miniaturowych.,13,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/versele-laga-mini-hamster-nature-dla-chomikow-miniaturowych-c114.jpg,versele laga mini hamster nature,"17,22"
Gryzonie/Pokarm,Cavia Naturejest kompletną karmą dopasowaną do potrzeb żywieniowych świnek morskich.,91,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cavia naturwe dfkobg.jpg,versele laga cavia nature,"21,31"
Gryzonie/Pokarm,Cavia Nature Re-Balancejest kompletną karmą dla świnek morskich.,33,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cavia rebalance dbgjwernvgjkw.jpg,versele laga cavia nature re-balance,"24,05"
Gryzonie/Pokarm,Pełnowartościowa i smaczna karma dla królików.,69,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/cuni junior complete 500g.jpg,versele laga cuni junior complete,"24,43"
Gryzonie/Pokarm,Pokarm podstawowy dla chomików.,38,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/beauty chomik chomik.jpg,vitakraft emotion beauty chomik,"24,82"
Gryzonie/Pokarm,Delikatny pokarm polecany przy zaburzeniach żołądkowo-jelitowych dla gryzoni i królików.,64,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/reisflakes.jpg,bunny reisflakes,"14,39"
Gryzonie/Pokarm,Ekskluzywny pokarm Premium Foodoparty wyłącznie na naturalnych składnikach.,92,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/nestor pokarm dla królika premium.jpg,nestor pokarm premium dla królika + kolba gratis,"12,13"
Gryzonie/Pokarm,Karma pełnoporcjowa dla szczurów.,61,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000018115.jpg,vitakraft menu vital dla szczura,"15,37"
Gryzonie/Pokarm,Karma pełnoporcjowa dla szynszyli.,97,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025847.jpg,vitakraft vita special regular dla szynszyli,"23,90"
Gryzonie/Pokarm,Karma pełnoporcjowa dla królików miniaturowych do 6 miesiąca życia.,73,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025840.jpg,vitakraft vita special regular for kids dla królika,"23,90"
Gryzonie/Pokarm,Karma pełnoporcjowa dla gryzoni.,52,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000020391.jpg,vitakraft pokarm green rollis,"13,27"
Gryzonie/Pokarm,Karma pełnoporcjowa dla królików miniaturowych.,75,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025314.jpg,vitakraft vita special regular dla królika,"23,90"
Gryzonie/Pokarm,Karma pełnoporcjowa dla świnek morskich.,55,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000025311.jpg,vitakraft vita special regular dla świnki morskiej,"23,90"
Gryzonie/Pokarm,Pełnowartościowy pokarm dla świnki morskiej.,38,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/DIGITAL_000000000000018119.jpg,vitakraft menu vital 1kg + 20% dla świnki morskiej,"18,77"
Gryzonie/Pokarm,Pełnowartościowa karma dla dorosłego królika.,83,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/complete królik adult ccccceeeeeeeeddddddddd.jpg,vitakraft emotion complete adult dla królika,"26,79"
Gryzonie/Pokarm,Pełnowartościowa karma dla dorosłej świnki morskiej.,62,https://webmerceproductioncdn.azureedge.net/zookarina/img/product_images/product_standard_images/completa swinia dulty nchfffffffffffffffndndddddd.jpg,vitakraft emotion complete adult dla świnki morskiej,"26,79"
